1 : coronaviru, the, studi, use, origin, infect, sars-cov-2, sequenc, human, bat
2 : covid-19, the, studi, pandem, chang, level, data, to, month, de
3 : coronaviru, the, respons, infect, viru, protein, vaccin, cell, immun, mice
4 : covid-19, the, peopl, in, time, individu, one, we, number, infect
5 : the, use, diseas, in, test, model, infect, patient, protein, of
6 : covid-19, the, use, sampl, test, detect, infect, patient, rapid, assay
7 : covid-19, the, use, case, in, 20, test, infect, antibodi, serolog
8 : covid-19, coronaviru, the, studi, case, report, test, licens, preprint, medrxiv
9 : covid-19, the, use, case, data, in, model, infect, patient, epidem
10 : covid-19, the, measur, social, case, state, infect, contact, distanc, school
11 : covid-19, the, use, care, provid, drug, medic, resourc, hospit, patient
12 : covid-19, the, case, peopl, in, rate, number, infect, transmiss, quarantin
13 : covid-19, the, also, case, peopl, in, spread, infect, viru, countri
14 : covid-19, the, case, outbreak, day, number, infect, patient, transmiss, super-spread
15 : covid-19, the, also, case, diseas, infect, patient, transmiss, cell, bodi
16 : the, studi, use, infect, viru, transmiss, surfac, cell, surviv, droplet
17 : clinic, covid-19, the, studi, use, research, treatment, patient, outcom, trial
18 : covid-19, the, studi, use, infect, transmiss, respiratori, prevent, face, mask
19 : the, use, effect, alcohol, product, hand, viru, surfac, sanit, disinfect
20 : covid-19, the, studi, use, patient, increas, lung, ace2, inhibitor, ace
21 : covid-19, coronaviru, the, studi, age, death, rate, infect, patient, mortal
22 : covid-19, the, diseas, may, risk, infect, patient, heart, cardiac, cardiovascular
23 : covid-19, the, studi, diseas, sever, group, patient, comorbid, diabet, hypertens
24 : covid-19, the, studi, diseas, sever, risk, infect, patient, increas, diabet
25 : covid-19, the, studi, use, diseas, level, sever, detect, infect, patient
26 : clinic, covid-19, the, case, diseas, symptom, sar, infect, patient, sars-cov-2
27 : covid-19, coronaviru, the, case, symptom, test, infect, patient, sars-cov-2, asymptomat
28 : covid-19, the, studi, use, effect, treatment, day, patient, chloroquin, hydroxychloroquin
29 : covid-19, the, studi, use, drug, infect, potenti, sars-cov-2, protein, target
30 : clinic, covid-19, the, studi, use, day, viru, patient, trial, remdesivir
31 : the, use, diseas, infect, viru, sequenc, human, transmiss, respiratori, virus
32 : coronaviru, the, use, sampl, detect, infect, viru, sequenc, respiratori, subtyp
33 : the, use, develop, respons, viru, sars-cov-2, protein, vaccin, immun, candid
34 : covid-19, coronaviru, the, studi, use, et, rate, model, infect, recoveri
35 : covid-19, the, use, research, ``, '', data, public, dataset, articl
36 : the, use, structur, sars-cov-2, protein, spike, interact, bind, ace2, rbd
37 : the, use, analysi, sars-cov-2, genom, sequenc, protein, phylogenet, tree, cov
38 : covid-19, diseas, sever, respons, patient, cell, immun, activ, inflammatori, cytokin
39 : covid-19, the, sever, respons, infect, patient, cell, immun, cytokin, storm
40 : coronaviru, the, et, differ, viru, sars-cov-2, genom, sequenc, protein, mutat
